area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Not ready to move ,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,120
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Theanmp,1440,2,3,62
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Soiewre,1200,2,1,51
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38
Super built-up  Area,Not ready to move ,Old Airport Road,4 BHK,Jaades ,2732,4,1,204
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,1,600
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Brway G,1310,3,1,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,Brway G,1020,6,1,370
Super built-up  Area,Not ready to move ,Whitefield,3 BHK,Brway G,1800,2,2,70
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,295
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,38
Built-up  Area,Ready To Move,Gottigere,2 BHK,Shncyes,1100,2,2,40
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,148
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,PeBayle,1100,2,2,48
Built-up  Area,Ready To Move,Kengeri,1 BHK,PeBayle,600,1,1,15
Super built-up  Area,Not ready to move ,Binny Pete,3 BHK,She 2rk,1755,3,1,122
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5,2,380
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Soitya ,1767,3,1,103
Super built-up  Area,Not ready to move , Thanisandra,1 RK,Bhe 2ko,510,1,0,25.25
Super built-up  Area,Not ready to move ,Mangammanapalya,3 BHK,Bhe 2ko,1250,3,2,56
Super built-up  Area,Not ready to move ,Electronic City,2 BHK,Itelaa ,660,1,1,23.1
Built-up  Area,Not ready to move ,Whitefield,3 BHK,Itelaa ,1610,3,2,81
Super built-up  Area,Not ready to move ,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,48.77
Super built-up  Area,Not ready to move ,Electronic City,3 BHK,KBityo ,1025,2,1,47
Super built-up  Area,Not ready to move ,Yelahanka,4 BHK,LedorSa,2100 - 2850,4,0,186
Super built-up  Area,Not ready to move ,Bisuvanahalli,3 BHK,Prityel,1075,2,1,35
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,2,123
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,1,125
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PrarePa,700,2,1,36
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,PrarePa,1070,2,1,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,PrarePa,1724,3,2,125
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,PrarePa,1290,2,2,56.12
